Date,Open,High,Low,Last Close
2021-12-10,422,425,422,422
2021-12-13,423,423,423,423
2021-12-14,424,424,419,419
2021-12-15,421,421,418,418
2021-12-16,427,427,425,425
2021-12-17,421,422,421,422
2021-12-20,414,414,410,410
2021-12-21,416,418,416,417
2021-12-22,420,422,420,422
2021-12-23,424,427,424,427
2021-12-27,430,430,430,430
2021-12-28,432,433,432,432
2021-12-29,433,433,431,431
2021-12-30,433,433,432,432
2022-01-03,432,432,430,432
2022-01-04,435,436,433,433
2022-01-05,433,433,432,432
2022-01-06,425,425,425,425
2022-01-10,427,427,416,416
2022-01-11,421,423,421,421
2022-01-12,425,425,423,423
2022-01-13,422,422,421,421
2022-01-14,416,416,414,415
2022-01-17,417,418,417,418
2022-01-18,416,416,413,413
2022-01-19,412,412,412,412
2022-01-20,410,414,410,414
2022-01-21,403,403,402,402
2022-01-24,387,387,387,387
2022-01-25,395,395,390,392
2022-01-26,401,401,401,401
2022-01-27,403,403,403,403
2022-01-28,400,400,397,399
2022-01-31,407,407,407,407
2022-02-01,411,411,409,409
2022-02-02,414,414,412,412
2022-02-03,414,414,404,404
2022-02-04,399,399,399,399
2022-02-07,402,402,402,402
2022-02-08,404,404,404,404
2022-02-09,409,409,409,409
2022-02-10,409,409,406,406
2022-02-11,404,404,403,403
2022-02-14,399,399,399,399
2022-02-15,398,402,398,402
2022-02-16,400,400,400,400
2022-02-17,398,398,398,398
2022-02-18,397,397,394,394
2022-02-21,390,390,389,389
2022-02-22,391,391,390,390
2022-02-23,391,391,387,387
2022-02-24,383,383,383,383
2022-02-25,396,396,396,396
2022-02-28,396,399,396,399
2022-03-01,398,398,398,398
2022-03-02,404,404,404,404
2022-03-03,404,404,404,404
2022-03-04,403,403,402,402
2022-03-07,401,404,400,402
2022-03-08,391,391,391,391
2022-03-09,396,396,394,394
2022-03-10,394,394,392,392
2022-03-11,398,398,398,398
2022-03-14,398,398,392,392
2022-03-15,386,397,386,397
2022-03-16,403,403,403,403
2022-03-17,405,405,403,403
2022-03-18,410,410,410,410
2022-03-21,413,413,413,413
2022-03-22,418,418,418,418
2022-03-23,425,425,418,418
2022-03-24,418,418,418,418
2022-03-25,418,421,418,421
2022-03-28,425,425,423,423
2022-03-29,426,426,425,425
2022-03-30,423,423,423,423
2022-03-31,423,424,423,424
2022-04-01,421,421,421,421
2022-04-04,422,426,422,426
2022-04-05,428,428,428,428
2022-04-06,426,426,419,419
2022-04-07,423,423,419,419
2022-04-08,425,425,425,425
2022-04-11,418,418,418,418
2022-04-12,418,421,418,421
2022-04-13,418,418,418,418
2022-04-14,418,421,417,421
2022-04-19,417,422,417,422
2022-04-20,422,422,422,422
2022-04-21,423,423,423,423
2022-04-22,416,416,412,412
2022-04-25,413,413,413,413
2022-04-26,405,405,405,405
2022-04-27,404,410,404,410
2022-04-28,411,411,411,411
2022-04-29,412,412,411,411
2022-05-02,404,404,401,401
2022-05-03,406,408,406,408
2022-05-04,403,403,403,403
2022-05-05,406,406,406,406
2022-05-06,401,401,401,401
2022-05-09,402,402,390,390
2022-05-10,388,388,388,388
2022-05-11,391,391,391,391
2022-05-12,387,387,387,387
2022-05-13,391,396,391,396
2022-05-16,396,396,394,394
2022-05-19,380,380,379,379
2022-05-20,377,377,377,377
2022-05-23,377,381,377,381
2022-05-24,372,372,372,372
2022-05-25,381,381,381,381
2022-05-26,387,387,387,387
2022-05-27,395,395,395,395
2022-05-30,398,398,398,398
2022-05-31,394,394,394,394
2022-06-01,395,395,395,395
2022-06-02,394,394,394,394
2022-06-03,393,393,393,393
2022-06-07,395,395,395,395
2022-06-08,398,398,398,398
2022-06-09,394,394,394,394
2022-06-10,395,395,381,381
2022-06-13,379,379,371,371
2022-06-14,372,372,369,369
2022-06-15,368,372,368,372
2022-06-16,368,368,360,360
2022-06-17,362,362,362,362
2022-06-20,362,362,362,362
2022-06-21,367,367,367,367
2022-06-22,367,367,367,367
2022-06-23,369,369,369,369
2022-06-24,378,378,378,378
2022-06-27,382,382,380,380
2022-06-28,378,378,378,378
2022-06-29,374,374,374,374
2022-07-01,369,374,369,373
2022-07-04,376,376,376,376
2022-07-05,376,376,376,376
2022-07-06,384,385,384,385
2022-07-07,393,393,393,393
2022-07-08,396,396,395,395
2022-07-11,394,394,394,394
2022-07-12,395,395,395,395
2022-07-13,387,387,387,387
2022-07-14,385,385,385,385
2022-07-15,393,393,393,393
2022-07-18,395,395,393,393
2022-07-19,393,393,393,393
2022-07-20,400,400,400,400
2022-07-21,399,399,399,399
2022-07-22,400,400,400,400
2022-07-25,400,400,400,400
2022-07-26,398,398,398,398
2022-07-27,404,404,404,404
2022-07-28,405,409,405,409
2022-07-29,413,413,413,413
2022-08-01,415,415,414,414
2022-08-02,420,420,414,414
2022-08-03,420,420,420,420
2022-08-04,422,422,417,417
2022-08-05,417,417,417,417
2022-08-08,420,420,420,420
2022-08-09,416,416,416,416
2022-08-10,418,418,418,418
2022-08-11,422,422,422,422
2022-08-12,426,426,426,426
2022-08-15,430,431,429,431
2022-08-16,435,435,435,435
2022-08-17,433,433,432,432
2022-08-18,435,435,435,435
2022-08-19,433,433,433,433
2022-08-22,431,431,431,431
